sample_id	cell_type	file_path
GSM5652359_Gastric-fundus-Epithelial	Gastric	/users/ludwig/uii408/sharedscratch/tapestry/data/pats/GSM5652359_Gastric-fundus-Epithelial-Z000000RX.hg38.pat.gz
GSM5652360_Gastric-fundus-Epithelial	Gastric	/users/ludwig/uii408/sharedscratch/tapestry/data/pats/GSM5652360_Gastric-fundus-Epithelial-Z000000SK.hg38.pat.gz
GSM5652361_Gastric-fundus-Epithelial	Gastric	/users/ludwig/uii408/sharedscratch/tapestry/data/pats/GSM5652361_Gastric-fundus-Epithelial-Z000000SV.hg38.pat.gz
GSM5652362_Gastric-body-Epithelial	Gastric	/users/ludwig/uii408/sharedscratch/tapestry/data/pats/GSM5652362_Gastric-body-Epithelial-Z000000SD.hg38.pat.gz
GSM5652363_Gastric-body-Epithelial	Gastric	/users/ludwig/uii408/sharedscratch/tapestry/data/pats/GSM5652363_Gastric-body-Epithelial-Z000000SM.hg38.pat.gz
GSM5652364_Gastric-body-Epithelial	Gastric	/users/ludwig/uii408/sharedscratch/tapestry/data/pats/GSM5652364_Gastric-body-Epithelial-Z000000ST.hg38.pat.gz
GSM5652365_Gastric-antrum-Epithelial	Gastric	/users/ludwig/uii408/sharedscratch/tapestry/data/pats/GSM5652365_Gastric-antrum-Epithelial-Z000000SF.hg38.pat.gz
GSM5652366_Gastric-antrum-Epithelial	Gastric	/users/ludwig/uii408/sharedscratch/tapestry/data/pats/GSM5652366_Gastric-antrum-Epithelial-Z000000SP.hg38.pat.gz
GSM5652367_Gastric-antrum-Epithelial	Gastric	/users/ludwig/uii408/sharedscratch/tapestry/data/pats/GSM5652367_Gastric-antrum-Epithelial-Z000000SR.hg38.pat.gz
GSM5652368_Gastric-antrum-Endocrine	Gastric	/users/ludwig/uii408/sharedscratch/tapestry/data/pats/GSM5652368_Gastric-antrum-Endocrine-Z00000437.hg38.pat.gz
GSM5652369_Gastric-antrum-Endocrine	Gastric	/users/ludwig/uii408/sharedscratch/tapestry/data/pats/GSM5652369_Gastric-antrum-Endocrine-Z00000438.hg38.pat.gz
GSM5652370_Colon-Right-Epithelial	Colon	/users/ludwig/uii408/sharedscratch/tapestry/data/pats/GSM5652370_Colon-Right-Epithelial-Z000000V0.hg38.pat.gz
GSM5652371_Colon-Right-Epithelial	Colon	/users/ludwig/uii408/sharedscratch/tapestry/data/pats/GSM5652371_Colon-Right-Epithelial-Z000000V8.hg38.pat.gz
GSM5652372_Colon-Right-Endocrine	Colon	/users/ludwig/uii408/sharedscratch/tapestry/data/pats/GSM5652372_Colon-Right-Endocrine-Z0000044S.hg38.pat.gz
GSM5652373_Colon-Left-Epithelial	Colon	/users/ludwig/uii408/sharedscratch/tapestry/data/pats/GSM5652373_Colon-Left-Epithelial-Z000000VA.hg38.pat.gz
GSM5652374_Colon-Left-Endocrine	Colon	/users/ludwig/uii408/sharedscratch/tapestry/data/pats/GSM5652374_Colon-Left-Endocrine-Z0000044J.hg38.pat.gz
GSM5652375_Colon-Left-Endocrine	Colon	/users/ludwig/uii408/sharedscratch/tapestry/data/pats/GSM5652375_Colon-Left-Endocrine-Z0000044T.hg38.pat.gz
GSM5652376_Colon-Left-Epithelial	Colon	/users/ludwig/uii408/sharedscratch/tapestry/data/pats/GSM5652376_Colon-Left-Epithelial-Z0000043B.hg38.pat.gz
GSM5652377_Colon-Left-Epithelial	Colon	/users/ludwig/uii408/sharedscratch/tapestry/data/pats/GSM5652377_Colon-Left-Epithelial-Z0000043C.hg38.pat.gz
GSM5652378_Small-int-Epithelial	Small_int	/users/ludwig/uii408/sharedscratch/tapestry/data/pats/GSM5652378_Small-int-Epithelial-Z0000042V.hg38.pat.gz
